Subject_Interest,Coding_Skills,Creativity,Communication,Preferred_Subject,Recommended_Career
High,High,Medium,High,Computer Science,Software Engineer
Medium,Low,High,Medium,Biology,Doctor
Low,High,Low,High,Commerce,Business Analyst
High,Medium,High,Medium,Arts,Graphic Designer
Medium,Medium,Low,High,Commerce,Marketing Executive
High,High,High,Medium,Computer Science,Data Scientist
Low,Low,High,Low,Arts,Teacher
Medium,High,Medium,Medium,Computer Science,Web Developer
High,Medium,High,High,Biology,Pharmacist
Medium,Low,Medium,High,Arts,Content Writer
